Id	Label	Color
0	Sam Houston St.	0
1	E. Washington	10
2	Abil Chr.	0
3	Georgia State	1
4	Texas A&M	1
5	South Carolina	1
6	E. Illinois	6
7	Minnesota	3
8	Presbyterian	2
9	Northern Illinois	3
10	Missouri St.	10
11	Northwestern St.	0
12	Bryant	4
13	Stony Brook	4
14	Wake Forest	3
15	La.-Monroe	1
16	Chattanooga	2
17	C. Michigan	3
18	Howard	8
19	Akron	3
20	Charlotte	2
21	Campbell	7
22	Reinhardt	2
23	Mercer	2
24	E. Kentucky	6
25	Robert Morris	4
26	Point U	2
27	Charleston So.	2
28	Missouri Baptist	7
29	SE Missouri St.	6
30	Idaho State	10
31	Utah	5
32	Valparaiso	7
33	W. Illinois	10
34	Boise St.	5
35	Ole Miss	1
36	Kentucky Chr.	6
37	Tenn. Tech	6
38	Taylor	7
39	S. Illinois	10
40	Tulane	3
41	Tulsa	3
42	Cal-Poly	10
43	New Mexico St.	1
44	Union College (KY)	6
45	Murray St.	6
46	North Dakota	10
47	San Jose St.	5
48	Rutgers	3
49	Washington St.	5
50	Weber St.	10
51	Arizona St.	5
52	Temple	3
53	Vanderbilt	1
54	BYU	5
55	Connecticut	3
56	Villanova	4
57	Syracuse	3
58	Jacksonville St.	6
59	Michigan St.	3
60	Bowling Green	3
61	W. Kentucky	1
62	Colorado St.	5
63	Colorado	5
64	Texas-San Antonio	1
65	Houston	3
66	UNLV	5
67	Arizona	5
68	Penn St.	3
69	UCF	3
70	UCLA	5
71	Virginia	3
72	Delaware	4
73	Pittsburgh	3
74	W. Michigan	3
75	Purdue	3
76	Wagner	4
77	Georgetown	11
78	N. Iowa	10
79	Iowa	3
80	Ohio St.	3
81	Navy	3
82	Troy	1
83	UAB	1
84	Appalachian St.	1
85	Michigan	3
86	UT Martin	6
87	Kentucky	1
88	N. Dakota St.	10
89	Iowa St.	12
90	Youngstown St.	10
91	Illinois	3
92	Indiana St.	10
93	Indiana	3
94	Wofford	2
95	Georgia Tech	3
96	Ga. Southern	1
97	N. Carolina St.	3
98	Delaware St.	8
99	Monmouth	4
100	Colgate	11
101	Ball St.	3
102	Nicholls St.	0
103	Air Force	5
104	So. Utah	10
105	Nevada	5
106	Boston College	3
107	Massachusetts	3
108	California	5
109	Northwestern	3
110	FAU	1
111	Nebraska	3
112	Hampton	8
113	Old Dominion	1
114	South Dakota St.	10
115	Missouri	1
116	Marshall	1
117	Miami (Ohio)	3
118	James Madison	4
119	Maryland	3
120	Rice	1
121	Notre Dame	3
122	Duquesne	4
123	Buffalo	3
124	West Virginia	12
125	Alabama	1
126	UC-Davis	10
127	Stanford	5
128	Portland St.	10
129	Oregon St.	5
130	William & Mary	4
131	Virginia Tech	3
132	Arkansas	1
133	Auburn	1
134	Montana	10
135	Wyoming	5
136	Virginia-Lynchburg	9
137	Alcorn St.	9
138	Faith U.	9
139	Mississippi Valley St.	9
140	S.C. State	8
141	Benedict	8
142	Clemson	1
143	Georgia	1
144	Elon	4
145	Duke	3
146	VMI	2
147	Bucknell	11
148	Coastal Carolina	2
149	The Citadel	2
150	Liberty	2
151	North Carolina	3
152	Morgan St.	8
153	E. Michigan	3
154	Holy Cross	11
155	Albany	4
156	Central Conn. St.	4
157	Towson	4
158	Ohio	3
159	Kent St.	3
160	Morehead St.	7
161	Richmond	4
162	Norfolk St.	8
163	Maine	4
164	Marist	7
165	Sacred Heart	4
166	St. Francis	4
167	Fordham	11
168	Samford	2
169	TCU	12
170	Southern	9
171	UL Lafayette	1
172	Austin Peay	6
173	Memphis	3
174	Stetson	7
175	Warner	2
176	Louisiana Tech	1
177	Oklahoma	12
178	Montana St.	10
179	Arkansas St.	1
180	Sacramento St.	10
181	Incarnate Word	0
182	Bethune-Cook.	8
183	FIU	1
184	W. Carolina	2
185	South Florida	3
186	N. Arizona	10
187	San Diego St.	5
188	Edward Waters	6
189	Tennessee St.	6
190	Ark.-Pine Bluff	9
191	Texas State	1
192	Savannah St.	8
193	M. Tenn. St.	1
194	Florida A&M	8
195	Jackson St.	9
196	Gardner-Webb	2
197	Furman	2
198	Grand View U.	7
199	Drake	7
200	College of Faith	7
201	Davidson	7
202	Cent. Arkansas	0
203	Texas Tech	12
204	New Hampshire	4
205	Toledo	3
206	S.F. Austin	0
207	Kansas St.	12
208	Fresno St.	5
209	USC	5
210	Southern Miss	1
211	Mississippi St.	1
212	Alabama St.	9
213	UTEP	1
214	New Mexico	5
215	North Texas	1
216	Texas	12
217	Grambling	9
218	Lamar	0
219	Florida St.	3
220	Oklahoma St.	12
221	Jacksonville	7
222	SE Louisiana	0
223	NC Central	8
224	East Carolina	3
225	LSU	1
226	Wisconsin	3
227	Montana-Western	10
228	South Dakota	10
229	Oregon	5
